,count,mean,std,min,25%,50%,75%,max
trindade,76133.0,0.0025744420947552,0.0657871488098491,0.0,0.0,0.0,0.0,4.0
trindade-300,154996.0,0.0206456940824279,0.2091789256956058,0.0,0.0,0.0,0.0,6.0
trindade-long-trains,74060.0,0.00116122063192,0.0388710599683686,0.0,0.0,0.0,0.0,3.0
trindade-long-trains-300,151718.0,0.0145796807234474,0.1953834486349834,0.0,0.0,0.0,0.0,6.0
trindade-no-elevators,89674.0,0.0004906661908691,0.0221456746702526,0.0,0.0,0.0,0.0,1.0
trindade-no-elevators-300,188279.0,0.0067984214915099,0.0977578773278526,0.0,0.0,0.0,0.0,3.0
trindade-single-stairs,108593.0,0.0020074958791082,0.0535640714408624,0.0,0.0,0.0,0.0,3.0
trindade-single-stairs-300,181658.0,0.0060993735480958,0.0925279423554377,0.0,0.0,0.0,0.0,4.0
trindade-escalators,76905.0,0.0046030817242051,0.0827315783567039,0.0,0.0,0.0,0.0,4.0
trindade-escalators-300,149388.0,0.01906444962112084,0.20196880244133206,0.0,0.0,0.0,0.0,7.0
