,count,mean,std,min,25%,50%,75%,max
trindade,76133.0,0.2772516517147623,0.6273777565922932,0.0,0.0,0.0,0.0,5.0
trindade-300,154996.0,0.6619009522826396,1.0055501243780252,0.0,0.0,0.0,1.0,8.0
trindade-long-trains,74060.0,0.1313259519308668,0.3900752946396337,0.0,0.0,0.0,0.0,4.0
trindade-long-trains-300,151718.0,0.4022726373930582,0.7802698282401161,0.0,0.0,0.0,1.0,9.0
trindade-no-elevators,89674.0,0.2227847536632691,0.5332728970514461,0.0,0.0,0.0,0.0,4.0
trindade-no-elevators-300,188279.0,0.6746052400958152,0.9564378255341448,0.0,0.0,0.0,1.0,5.0
trindade-single-stairs,108593.0,0.2575304117208291,0.592810796114743,0.0,0.0,0.0,0.0,5.0
trindade-single-stairs-300,181658.0,0.6781534531922624,0.9332846394816426,0.0,0.0,0.0,1.0,6.0
trindade-escalators,76905.0,0.3006826604251999,0.6733569853149357,0.0,0.0,0.0,0.0,6.0
trindade-escalators-300,149388.0,0.5697378638177096,0.9750461844364801,0.0,0.0,0.0,1.0,9.0
