,count,mean,std,min,25%,50%,75%,max
trindade,75983.0,0.2979109257169818,0.0247192057758233,0.0,0.299999999999984,0.2999999999999997,0.3000000000000156,0.5509367380407924
trindade-300,154696.0,0.2959467508027645,0.0339822826190742,0.0,0.2999999999999509,0.2999999999999989,0.3000000000000242,0.6022957787621878
trindade-long-trains,73910.0,0.298146490487216,0.0231276325721909,0.0,0.2999999999999851,0.2999999999999997,0.3000000000000131,0.5473378162288881
trindade-long-trains-300,151418.0,0.2977754482131464,0.0249689717067908,0.0,0.2999999999999775,0.2999999999999993,0.3000000000000166,0.7222187980211723
trindade-no-elevators,89524.0,0.2999695012747653,0.008498164699848,0.0356164525577815,0.2999999999999815,0.2999999999999999,0.3000000000000163,0.5825699498915569
trindade-no-elevators-300,187979.0,0.29981293814646,0.0118421208558112,0.0430395858691742,0.2999999999999628,0.2999999999999994,0.3000000000000257,0.5959611392038049
trindade-single-stairs,108443.0,0.299867479268012,0.0086698922275597,0.0043620441540355,0.2999999999999833,0.2999999999999992,0.3000000000000142,0.5552044420978827
trindade-single-stairs-300,181358.0,0.2998059292812196,0.0121093634374366,0.0239676585844486,0.2999999999999571,0.2999999999999986,0.3000000000000272,0.5823412656804954
trindade-escalators,76755.0,0.3094791863000901,0.0891814775952501,0.0,0.2999999999999845,0.3,0.3000000000000152,0.9000000000001366
trindade-escalators-300,149088.0,0.3104859603797447,0.09300795032530015,0.0,0.2999999999999733,0.2999999999999997,0.30000000000002425,1.0059603975327551
