,count,mean,std,min,25%,50%,75%,max
trindade,76133.0,0.5910708891019663,0.9004004578406983,0.0,0.0,0.0,1.0,8.0
trindade-300,154996.0,1.214276497457999,1.3634556288193795,0.0,0.0,1.0,2.0,14.0
trindade-long-trains,74060.0,0.3384283013772616,0.6265356570323386,0.0,0.0,0.0,1.0,6.0
trindade-long-trains-300,151718.0,0.8001160046929171,1.12895215386126,0.0,0.0,0.0,1.0,15.0
trindade-no-elevators,89674.0,0.6427058010125566,0.816580530797887,0.0,0.0,0.0,1.0,5.0
trindade-no-elevators-300,188279.0,1.2358999144886047,1.2418816245505275,0.0,0.0,1.0,2.0,7.0
trindade-single-stairs,108593.0,0.575506708535541,0.8187180336194935,0.0,0.0,0.0,1.0,7.0
trindade-single-stairs-300,181658.0,1.2069052835548115,1.2003008452993746,0.0,0.0,1.0,2.0,7.0
trindade-escalators,76905.0,0.6590728821272999,0.998036092289622,0.0,0.0,0.0,1.0,8.0
trindade-escalators-300,149388.0,1.0807427638096767,1.40645337137676,0.0,0.0,1.0,2.0,12.0
