,count,mean,std,min,25%,50%,75%,max
trindade,150.0,506.5533333333333,184.8889576655855,133.0,430.75,537.0,626.0,873.0
trindade-300,300.0,515.6533333333333,190.14043346172392,141.0,415.5,556.0,617.0,1352.0
trindade-long-trains,150.0,492.73333333333335,199.74536362786432,144.0,299.25,533.0,622.5,902.0
trindade-long-trains-300,300.0,504.7266666666667,174.66787965402128,131.0,370.25,556.5,617.0,896.0
trindade-no-elevators,150.0,596.8266666666667,229.7659663312135,120.0,528.0,625.0,751.25,1040.0
trindade-no-elevators-300,300.0,626.5966666666667,225.7339882110529,126.0,531.0,645.5,763.25,1070.0
trindade-single-stairs,150.0,722.9533333333334,305.63298463604866,157.0,619.25,777.0,927.0,1393.0
trindade-single-stairs-300,300.0,604.5266666666666,228.16014726112067,137.0,521.0,631.0,750.25,1053.0
trindade-escalators,150.0,511.7,192.74055831296107,145.0,438.0,537.0,625.75,886.0
trindade-escalators-300,300.0,496.96,180.59233197423686,138.0,425.0,536.0,597.5,914.0
